tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
2021seattle,Premier,Pool,Mutant Roundnet,Smash Bros,Josh Fragiacomo,Warren Foote,Derek Johnson,Austin Denny,21,18
2021seattle,Premier,Pool,Mutant Roundnet,Smash Bros,Josh Fragiacomo,Warren Foote,Timothy Bradshaw,Joshua Bradshaw,21,18
2021seattle,Premier,Pool,Ortega/Boles,Highly Calculated,Kenny Ortega,Skyler Boles,Dan Abrams,Ravi Kandula,31,29
2021seattle,Premier,Pool,Ortega/Boles,Highly Calculated,Kenny Ortega,Skyler Boles,Dan Abrams,Ravi Kandula,19,21
2021seattle,Premier,Pool,Ortega/Boles,Highly Calculated,Kenny Ortega,Skyler Boles,Dan Abrams,Ravi Kandula,24,26
2021seattle,Premier,Pool,I Pity the Fool who Carries,Backpacked to Premier?,Malachi Espinola,Zach Duffy,Alex Goates,Solomon Berry,16,21
2021seattle,Premier,Pool,I Pity the Fool who Carries,Backpacked to Premier?,Malachi Espinola,Zach Duffy,Alex Goates,Solomon Berry,12,21
2021seattle,Premier,Pool,Double Clutch,Lee and Mushi,fredric hinkle,Rahul Murthy,Austin Rawlings,Jacob Payer,21,15
2021seattle,Premier,Pool,Double Clutch,Lee and Mushi,fredric hinkle,Rahul Murthy,Austin Rawlings,Jacob Payer,21,16
2021seattle,Premier,Pool,Fiddle me,Western Grebes,Andrew Kosche,Jacob Martinez,Jake Howhannesian,Lucas Pruett,19,21
2021seattle,Premier,Pool,Fiddle me,Western Grebes,Andrew Kosche,Jacob Martinez,Jake Howhannesian,Lucas Pruett,21,13
2021seattle,Premier,Pool,Fiddle me,Western Grebes,Andrew Kosche,Jacob Martinez,Jake Howhannesian,Lucas Pruett,21,14
2021seattle,Premier,Pool,Sick Kick,Ortega/Boles,Gabe Finocchi,Ryan Gross,Kenny Ortega,Skyler Boles,21,15
2021seattle,Premier,Pool,Sick Kick,Ortega/Boles,Gabe Finocchi,Ryan Gross,Kenny Ortega,Skyler Boles,21,16
2021seattle,Premier,Pool,Highly Calculated,I Pity the Fool who Carries,Dan Abrams,Ravi Kandula,Malachi Espinola,Zach Duffy,21,17
2021seattle,Premier,Pool,Highly Calculated,I Pity the Fool who Carries,Dan Abrams,Ravi Kandula,Malachi Espinola,Zach Duffy,19,21
2021seattle,Premier,Pool,Highly Calculated,I Pity the Fool who Carries,Dan Abrams,Ravi Kandula,Malachi Espinola,Zach Duffy,21,18
2021seattle,Premier,Pool,Trippy Lizard,Double Clutch,Clark Marshall,Andrew Card,fredric hinkle,Rahul Murthy,16,21
2021seattle,Premier,Pool,Trippy Lizard,Double Clutch,Clark Marshall,Andrew Card,fredric hinkle,Rahul Murthy,16,21
2021seattle,Premier,Pool,Lee and Mushi,Fiddle me,Austin Rawlings,Jacob Payer,Andrew Kosche,Jacob Martinez,21,18
2021seattle,Premier,Pool,Lee and Mushi,Fiddle me,Austin Rawlings,Jacob Payer,Andrew Kosche,Jacob Martinez,21,18
2021seattle,Contender,Pool,Guys Who Just Met,Flap pockets with buttons,Connor Prelich,Ryan Wheelock,Adam Randall,Alex Osler,21,16
2021seattle,Contender,Pool,Orange Dream,Blinngo Ball Indulgence,Warner Curtis,Archie Powell,Bryan Fuss,Nate Ellis,23,21
2021seattle,Contender,Pool,TouchÈ,The Winning Team,John Breum,Luis Brito,Grant Erickson,Jacob Amend,21,12
2021seattle,Contender,Pool,Straight out of the park,The Mullet and The Stache,Mitchell Henry,Harrison Hohimer,Josh Holcomb,Sean Rooney,21,18
2021seattle,Contender,Pool,Shib Sibs,Apex,Kasey Shibayama,Skylar Shibayama,Elijah Sather,Daniel Blodgett,21,15
2021seattle,Contender,Pool,Cobra Kai (University of Washington),deceptive tree,Kevin Zhu,Ryan Slaughter,tucker judkins,Derek Bonney,21,17
2021seattle,Contender,Pool,Maloney/Slattery,Round Net Work,Ian Slattery,Thomas Maloney,Nate Zuiker,Tommy Oddo,21,15
2021seattle,Contender,Pool,SJ invictus,High,Christopher Barros,Jason Kim,Benjamin Burnett,Josiah Sanders,21,16
2021seattle,Contender,Pool,Guys Who Just Met,Blinngo Ball Indulgence,Connor Prelich,Ryan Wheelock,Bryan Fuss,Nate Ellis,21,16
2021seattle,Contender,Pool,Orange Dream,The Mullet and The Stache,Warner Curtis,Archie Powell,Josh Holcomb,Sean Rooney,21,14
2021seattle,Contender,Pool,TouchÈ,Straight out of the park,John Breum,Luis Brito,Mitchell Henry,Harrison Hohimer,21,13
2021seattle,Contender,Pool,The Winning Team,Flap pockets with buttons,Grant Erickson,Jacob Amend,Adam Randall,Alex Osler,12,21
2021seattle,Contender,Pool,Shib Sibs,deceptive tree,Kasey Shibayama,Skylar Shibayama,tucker judkins,Derek Bonney,21,13
2021seattle,Contender,Pool,Cobra Kai (University of Washington),High,Kevin Zhu,Ryan Slaughter,Benjamin Burnett,Josiah Sanders,21,14
2021seattle,Contender,Pool,Maloney/Slattery,SJ invictus,Ian Slattery,Thomas Maloney,Christopher Barros,Jason Kim,21,11
2021seattle,Contender,Pool,Round Net Work,Apex,Nate Zuiker,Tommy Oddo,Elijah Sather,Daniel Blodgett,18,21
2021seattle,Contender,Pool,Guys Who Just Met,The Winning Team,Connor Prelich,Ryan Wheelock,Grant Erickson,Jacob Amend,21,12
2021seattle,Contender,Pool,Orange Dream,TouchÈ,Warner Curtis,Archie Powell,John Breum,Luis Brito,21,17
2021seattle,Contender,Pool,Straight out of the park,Flap pockets with buttons,Mitchell Henry,Harrison Hohimer,Adam Randall,Alex Osler,15,21
2021seattle,Contender,Pool,The Mullet and The Stache,Blinngo Ball Indulgence,Josh Holcomb,Sean Rooney,Bryan Fuss,Nate Ellis,19,21
2021seattle,Contender,Pool,Shib Sibs,Round Net Work,Kasey Shibayama,Skylar Shibayama,Nate Zuiker,Tommy Oddo,21,11
2021seattle,Contender,Pool,Cobra Kai (University of Washington),Maloney/Slattery,Kevin Zhu,Ryan Slaughter,Ian Slattery,Thomas Maloney,19,21
2021seattle,Contender,Pool,SJ invictus,Apex,Christopher Barros,Jason Kim,Elijah Sather,Daniel Blodgett,17,21
2021seattle,Contender,Pool,High,deceptive tree,Benjamin Burnett,Josiah Sanders,tucker judkins,Derek Bonney,18,21
2021seattle,Contender,Pool,Guys Who Just Met,The Mullet and The Stache,Connor Prelich,Ryan Wheelock,Josh Holcomb,Sean Rooney,21,16
2021seattle,Contender,Pool,Orange Dream,Flap pockets with buttons,Warner Curtis,Archie Powell,Adam Randall,Alex Osler,21,12
2021seattle,Contender,Pool,TouchÈ,Blinngo Ball Indulgence,John Breum,Luis Brito,Bryan Fuss,Nate Ellis,21,17
2021seattle,Contender,Pool,Straight out of the park,The Winning Team,Mitchell Henry,Harrison Hohimer,Grant Erickson,Jacob Amend,21,23
2021seattle,Contender,Pool,Shib Sibs,High,Kasey Shibayama,Skylar Shibayama,Benjamin Burnett,Josiah Sanders,21,10
2021seattle,Contender,Pool,Cobra Kai (University of Washington),Apex,Kevin Zhu,Ryan Slaughter,Elijah Sather,Daniel Blodgett,21,14
2021seattle,Contender,Pool,Maloney/Slattery,deceptive tree,Ian Slattery,Thomas Maloney,tucker judkins,Derek Bonney,21,16
2021seattle,Contender,Pool,SJ invictus,Round Net Work,Christopher Barros,Jason Kim,Nate Zuiker,Tommy Oddo,18,21
2021seattle,Contender,Pool,Guys Who Just Met,Straight out of the park,Connor Prelich,Ryan Wheelock,Mitchell Henry,Harrison Hohimer,21,13
2021seattle,Contender,Pool,Orange Dream,The Winning Team,Warner Curtis,Archie Powell,Grant Erickson,Jacob Amend,21,8
2021seattle,Contender,Pool,TouchÈ,The Mullet and The Stache,John Breum,Luis Brito,Josh Holcomb,Sean Rooney,21,19
2021seattle,Contender,Pool,Blinngo Ball Indulgence,Flap pockets with buttons,Bryan Fuss,Nate Ellis,Adam Randall,Alex Osler,15,21
2021seattle,Contender,Pool,Shib Sibs,SJ invictus,Kasey Shibayama,Skylar Shibayama,Christopher Barros,Jason Kim,21,9
2021seattle,Contender,Pool,Cobra Kai (University of Washington),Round Net Work,Kevin Zhu,Ryan Slaughter,Nate Zuiker,Tommy Oddo,21,12
2021seattle,Contender,Pool,Maloney/Slattery,High,Ian Slattery,Thomas Maloney,Benjamin Burnett,Josiah Sanders,24,22
2021seattle,Contender,Pool,deceptive tree,Apex,tucker judkins,Derek Bonney,Elijah Sather,Daniel Blodgett,21,14
2021seattle,Contender,Pool,Guys Who Just Met,TouchÈ,Connor Prelich,Ryan Wheelock,John Breum,Luis Brito,17,21
2021seattle,Contender,Pool,Orange Dream,Straight out of the park,Warner Curtis,Archie Powell,Mitchell Henry,Harrison Hohimer,21,6
2021seattle,Contender,Pool,The Mullet and The Stache,Flap pockets with buttons,Josh Holcomb,Sean Rooney,Adam Randall,Alex Osler,21,19
2021seattle,Contender,Pool,The Winning Team,Blinngo Ball Indulgence,Grant Erickson,Jacob Amend,Bryan Fuss,Nate Ellis,19,21
2021seattle,Contender,Pool,Shib Sibs,Maloney/Slattery,Kasey Shibayama,Skylar Shibayama,Ian Slattery,Thomas Maloney,21,17
2021seattle,Contender,Pool,Cobra Kai (University of Washington),SJ invictus,Kevin Zhu,Ryan Slaughter,Christopher Barros,Jason Kim,21,8
2021seattle,Contender,Pool,High,Apex,Benjamin Burnett,Josiah Sanders,Elijah Sather,Daniel Blodgett,15,21
2021seattle,Contender,Pool,Round Net Work,deceptive tree,Nate Zuiker,Tommy Oddo,tucker judkins,Derek Bonney,21,17
2021seattle,Contender,Pool,Guys Who Just Met,Orange Dream,Connor Prelich,Ryan Wheelock,Warner Curtis,Archie Powell,14,21
2021seattle,Contender,Pool,TouchÈ,Flap pockets with buttons,John Breum,Luis Brito,Adam Randall,Alex Osler,21,14
2021seattle,Contender,Pool,Straight out of the park,Blinngo Ball Indulgence,Mitchell Henry,Harrison Hohimer,Bryan Fuss,Nate Ellis,12,21
2021seattle,Contender,Pool,The Mullet and The Stache,The Winning Team,Josh Holcomb,Sean Rooney,Grant Erickson,Jacob Amend,21,12
2021seattle,Contender,Pool,Shib Sibs,Cobra Kai (University of Washington),Kasey Shibayama,Skylar Shibayama,Kevin Zhu,Ryan Slaughter,21,23
2021seattle,Contender,Pool,Maloney/Slattery,Apex,Ian Slattery,Thomas Maloney,Elijah Sather,Daniel Blodgett,21,13
2021seattle,Contender,Pool,SJ invictus,deceptive tree,Christopher Barros,Jason Kim,tucker judkins,Derek Bonney,18,21
2021seattle,Contender,Pool,High,Round Net Work,Benjamin Burnett,Josiah Sanders,Nate Zuiker,Tommy Oddo,13,21
2021seattle,Women's Advanced,Pool,Feller/Pierson,venom,Kirstie Savage,Katie Pierson,katie imhof,Hayley James,21,7
2021seattle,Women's Advanced,Pool,Vigna/CrÍte,Tulip,Jordann Vigna,Frede Crete,Becky Shapiro,Eve Farrell,21,4
2021seattle,Women's Advanced,Pool,THUS PARABATAI,The Real Rim Shady,Kayla Wu,Kalin Miramontes,Namya Malik,Grace Conheady,21,7
2021seattle,Women's Advanced,Pool,Feller/Pierson,Tulip,Kirstie Savage,Katie Pierson,Becky Shapiro,Eve Farrell,21,8
2021seattle,Women's Advanced,Pool,Vigna/CrÍte,Diet Dr. Kelp,Jordann Vigna,Frede Crete,Perrin York,Mey Helm,21,5
2021seattle,Women's Advanced,Pool,The Real Rim Shady,venom,Namya Malik,Grace Conheady,katie imhof,Hayley James,21,8
2021seattle,Women's Advanced,Pool,Feller/Pierson,The Real Rim Shady,Kirstie Savage,Katie Pierson,Namya Malik,Grace Conheady,21,9
2021seattle,Women's Advanced,Pool,Vigna/CrÍte,THUS PARABATAI,Jordann Vigna,Frede Crete,Kayla Wu,Kalin Miramontes,21,23
2021seattle,Women's Advanced,Pool,Diet Dr. Kelp,Tulip,Perrin York,Mey Helm,Becky Shapiro,Eve Farrell,21,3
2021seattle,Women's Advanced,Pool,Feller/Pierson,Diet Dr. Kelp,Kirstie Savage,Katie Pierson,Perrin York,Mey Helm,21,9
2021seattle,Women's Advanced,Pool,Vigna/CrÍte,venom,Jordann Vigna,Frede Crete,katie imhof,Hayley James,21,9
2021seattle,Women's Advanced,Pool,THUS PARABATAI,Tulip,Kayla Wu,Kalin Miramontes,Becky Shapiro,Eve Farrell,21,8
2021seattle,Women's Advanced,Pool,Vigna/CrÍte,The Real Rim Shady,Jordann Vigna,Frede Crete,Namya Malik,Grace Conheady,21,8
2021seattle,Women's Advanced,Pool,THUS PARABATAI,Diet Dr. Kelp,Kayla Wu,Kalin Miramontes,Perrin York,Mey Helm,21,15
2021seattle,Women's Advanced,Pool,Tulip,venom,Becky Shapiro,Eve Farrell,katie imhof,Hayley James,10,21
2021seattle,Women's Advanced,Pool,Feller/Pierson,THUS PARABATAI,Kirstie Savage,Katie Pierson,Kayla Wu,Kalin Miramontes,16,21
2021seattle,Women's Advanced,Pool,Diet Dr. Kelp,venom,Perrin York,Mey Helm,katie imhof,Hayley James,21,7
2021seattle,Women's Advanced,Pool,The Real Rim Shady,Tulip,Namya Malik,Grace Conheady,Becky Shapiro,Eve Farrell,21,13
2021seattle,Women's Advanced,Pool,Feller/Pierson,Vigna/CrÍte,Kirstie Savage,Katie Pierson,Jordann Vigna,Frede Crete,16,21
2021seattle,Women's Advanced,Pool,THUS PARABATAI,venom,Kayla Wu,Kalin Miramontes,katie imhof,Hayley James,21,8
2021seattle,Women's Advanced,Pool,Diet Dr. Kelp,The Real Rim Shady,Perrin York,Mey Helm,Namya Malik,Grace Conheady,21,17
2021seattle,Advanced,Pool,Dirty Dangles,Shoreline Mafia,Jonathan Andrews,James Renfroe,Brad Officer,Alexander Liu,21,15
2021seattle,Advanced,Pool,Boom Ball,Hueligans,Jordan Freitas,Riley Inn,Alexis Adams,Jason Small,21,12
2021seattle,Advanced,Pool,Hide on Bush,spiKE The Right Thing,Andrew Nakahara,Jaren Tilley,Erik Bishop,Kevin H,21,18
2021seattle,Advanced,Pool,Spike Like Mike,Brennan and the Jets,Ari Eisips,Andy Ha,Nathan Evensen,Ryan Brennan,19,21
2021seattle,Advanced,Pool,Peanut Betty and Gellieman,The Cascades,Garrett Peterson,Jordan Moore-Bettencourt,Josh Wozniak,Rick Thomas,21,18
2021seattle,Advanced,Pool,Spikaholics,Smash Bros,Tyler Harms-Synkiew,Josie Machalek,Derek Johnson,Austin Denny,13,21
2021seattle,Advanced,Pool,Spikaholics,Smash Bros,Tyler Harms-Synkiew,Josie Machalek,Timothy Bradshaw,Joshua Bradshaw,13,21
2021seattle,Advanced,Pool,COD Kings,The Back packs,Bryce Jacobsen,Arthur Troncoso,Brian Perlson,Ryan Brown,15,21
2021seattle,Advanced,Pool,2-Hit Wonders,Western Alert,Joshua Coder,Todd Copper,Lester Lui-Delange,Paul Goins,16,21
2021seattle,Advanced,Pool,Dirty Dangles,Hueligans,Jonathan Andrews,James Renfroe,Alexis Adams,Jason Small,18,21
2021seattle,Advanced,Pool,Boom Ball,Brennan and the Jets,Jordan Freitas,Riley Inn,Nathan Evensen,Ryan Brennan,21,12
2021seattle,Advanced,Pool,Hide on Bush,The Future Dilfs,Andrew Nakahara,Jaren Tilley,Davis Wolfley,Tyler Klepec,21,10
2021seattle,Advanced,Pool,spiKE The Right Thing,Shoreline Mafia,Erik Bishop,Kevin H,Brad Officer,Alexander Liu,15,21
2021seattle,Advanced,Pool,Peanut Betty and Gellieman,Smash Bros,Garrett Peterson,Jordan Moore-Bettencourt,Derek Johnson,Austin Denny,21,13
2021seattle,Advanced,Pool,Peanut Betty and Gellieman,Smash Bros,Garrett Peterson,Jordan Moore-Bettencourt,Timothy Bradshaw,Joshua Bradshaw,21,13
2021seattle,Advanced,Pool,Spikaholics,Western Alert,Tyler Harms-Synkiew,Josie Machalek,Lester Lui-Delange,Paul Goins,13,21
